AXStaticText 418,63 37x13 = '게임 번호' ~ 'null'
AXStaticText 430,79 13x24 = '1' ~ 'null'
AXStaticText 423,106 27x13 = '이동 0' ~ 'null'
AXStaticText 163,159 65x92 = 'J ♦' ~ 'null'
AXButton 6,275 36x50 = 'null' ~ 'null'
AXStaticText 163,212 65x92 = 'K ♦' ~ 'null'
AXButton 6,331 36x50 = 'null' ~ 'null'
AXStaticText 163,265 65x92 = '2 ♠' ~ 'null'
AXStaticText 163,318 65x92 = '4 ♣' ~ 'null'
AXButton 6,402 36x50 = 'null' ~ 'null'
AXStaticText 163,371 65x92 = '3 ♠' ~ 'null'
AXButton 6,458 36x50 = 'null' ~ 'null'
AXStaticText 163,424 65x92 = '6 ♦' ~ 'null'
AXStaticText 232,159 64x92 = '2 ♦' ~ 'null'
AXStaticText 232,212 64x92 = 'K ♣' ~ 'null'
AXStaticText 232,265 64x92 = 'K ♠' ~ 'null'
AXStaticText 232,318 64x92 = '5 ♣' ~ 'null'
AXStaticText 232,371 64x92 = '10 ♦' ~ 'null'
AXStaticText 232,424 64x92 = '8 ♠' ~ 'null'
AXStaticText 163,477 65x92 = '6 ♠' ~ 'null'
AXStaticText 300,159 65x92 = '9 ♥' ~ 'null'
AXStaticText 369,159 65x92 = 'J ♣' ~ 'null'
AXStaticText 300,212 65x92 = '9 ♠' ~ 'null'
AXStaticText 369,212 65x92 = '5 ♠' ~ 'null'
AXStaticText 300,265 65x92 = '9 ♦' ~ 'null'
AXStaticText 369,265 65x92 = 'Q ♦' ~ 'null'
AXStaticText 300,318 65x92 = '10 ♠' ~ 'null'
AXStaticText 369,318 65x92 = 'Q ♥' ~ 'null'
AXStaticText 300,371 65x92 = '4 ♠' ~ 'null'
AXStaticText 369,371 65x92 = '10 ♥' ~ 'null'
AXStaticText 300,424 65x92 = '8 ♦' ~ 'null'
AXStaticText 232,477 64x92 = '9 ♣' ~ 'null'
AXStaticText 369,424 65x92 = 'Q ♠' ~ 'null'
AXStaticText 300,477 65x92 = '2 ♥' ~ 'null'
AXStaticText 438,159 65x92 = '5 ♦' ~ 'null'
AXStaticText 438,212 65x92 = 'A ♦' ~ 'null'
AXStaticText 438,265 65x92 = 'J ♠' ~ 'null'
AXStaticText 438,318 65x92 = '4 ♥' ~ 'null'
AXStaticText 438,371 65x92 = '8 ♥' ~ 'null'
AXStaticText 438,424 65x92 = '6 ♣' ~ 'null'
AXStaticText 507,159 65x92 = '7 ♥' ~ 'null'
AXStaticText 576,159 64x92 = '7 ♣' ~ 'null'
AXStaticText 507,212 65x92 = 'Q ♣' ~ 'null'
AXStaticText 576,212 64x92 = 'K ♥' ~ 'null'
AXStaticText 507,265 65x92 = 'A ♠' ~ 'null'
AXStaticText 576,265 64x92 = 'A ♥' ~ 'null'
AXStaticText 507,318 65x92 = 'A ♣' ~ 'null'
AXStaticText 576,318 64x92 = '4 ♦' ~ 'null'
AXStaticText 507,371 65x92 = '2 ♣' ~ 'null'
AXStaticText 576,371 64x92 = 'J ♥' ~ 'null'
AXStaticText 507,424 65x92 = '3 ♦' ~ 'null'
AXStaticText 645,159 65x92 = '5 ♥' ~ 'null'
AXStaticText 645,212 65x92 = '3 ♥' ~ 'null'
AXStaticText 645,265 65x92 = '3 ♣' ~ 'null'
AXStaticText 645,318 65x92 = '7 ♠' ~ 'null'
AXStaticText 645,371 65x92 = '7 ♦' ~ 'null'
AXStaticText 576,424 64x92 = '8 ♣' ~ 'null'
AXButton 835,275 36x50 = 'null' ~ 'null'
AXButton 832,331 42x50 = 'null' ~ 'null'
AXButton 835,402 36x50 = 'null' ~ 'null'
AXButton 835,458 36x50 = 'null' ~ 'null'
AXStaticText 645,424 65x92 = '10 ♣' ~ 'null'
AXStaticText 369,477 65x92 = '6 ♥' ~ 'null'
AXButton 8,8 16x16 = 'null' ~ 'null'
AXButton 54,8 16x16 = 'null' ~ 'null'
AXButton 31,8 16x16 = 'null' ~ 'null'
